SL No,name,online_order
0,Jalsa,Yes
1,Spice Elephant,Yes
2,San Churro Cafe,Yes
3,Addhuri Udupi Bhojana,No
4,Grand Village,No
5,Timepass Dinner,Yes
6,Rosewood International Hotel - Bar & Restaurant,No
7,Onesta,Yes
8,Penthouse Cafe,Yes
9,Smacznego,Yes
10,Village Café,Yes
11,Cafe Shuffle,Yes
12,The Coffee Shack,Yes
13,Caf-Eleven,No
14,San Churro Cafe,Yes
15,Cafe Vivacity,Yes
16,Catch-up-ino,Yes
17,Kirthi's Biryani,Yes
18,T3H Cafe,No
19,360 Atoms Restaurant And Cafe,Yes
20,The Vintage Cafe,Yes
21,Woodee Pizza,Yes
22,Cafe Coffee Day,No
23,My Tea House,Yes
24,Hide Out Cafe,No
25,CAFE NOVA,No
26,Coffee Tindi,Yes
27,Sea Green Cafe,No
28,Cuppa,No
29,Srinathji's Cafe,No
30,Redberrys,Yes
31,Foodiction,Yes
32,Sweet Truth,Yes
33,Ovenstory Pizza,Yes
34,Faasos,Yes
35,Behrouz Biryani,Yes
36,Fast And Fresh,Yes
37,Szechuan Dragon,Yes
38,Empire Restaurant,Yes
39,Maruthi Davangere Benne Dosa,Yes
40,Chaatimes,Yes
41,Havyaka Mess,No
42,McDonald's,Yes
43,Domino's Pizza,Yes
44,Onesta,Yes
45,Hotboxit,No
46,Kitchen Garden,Yes
47,Recipe,Yes
48,Beijing Bites,Yes
49,Tasty Bytes,Yes
50,Petoo,No
51,Shree Cool Point,Yes
52,Corner House Ice Cream,No
53,Biryanis And More,Yes
54,Roving Feast,No
55,FreshMenu,Yes
56,Banashankari Donne Biriyani,Yes
57,Wamama,Yes
58,Five Star Chicken,No
59,XO Belgian Waffle,Yes
60,Peppy Peppers,No
61,Goa 0 Km,Yes
62,Chinese Kitchen,Yes
63,Jeet Restaurant,No
64,Cake of the Day,No
65,Kabab Magic,Yes
66,Namma Brahmin's Idli,Yes
67,Gustoes Beer House,No
68,Sugar Rush,No
69,Burger King,Yes
70,The Good Bowl,Yes
71,The Biryani Cafe,No
72,Spicy Tandoor,No
73,LSD Cafe,No
74,Rolls On Wheels,No
75,Om Sri Vinayaka Chats,No
76,Sri Guru Kottureshwara Davangere Benne Dosa,Yes
77,Devanna Dum Biriyani Centre,Yes
78,Kolbeh,No
79,Upahar Sagar,No
80,Kadalu Sea Food Restaurant,Yes
81,Frozen Bottle,Yes
82,Parimala Sweets,No
83,Vaishali Deluxe,No
84,Chill Out,No
85,The Big O Bakes,No
86,Meghana Foods,Yes
87,Krishna Sagar,No
88,Dessert Rose,No
89,Chickpet Donne Biryani House,No
90,Me And My Cake,No
91,Sunsadm,No
92,Annapooraneshwari Mess,No
93,Thanco's Natural Ice Creams,No
94,Nandhini Deluxe,No
95,Vi Ra's Bar and Restaurant,No
96,Kaggis,No
97,Ayda Persian Kitchen,No
98,Chatar Patar,No
99,Polar Bear,Yes
100,Kidambi's Kitchen,No
101,Mane Thindi,No
102,Kotian Karavali Restaurant,No
103,Floured-Baked With Love,No
104,CAFE NOVA,No
105,Cakes & Slices,No
106,Spice 9,No
107,Coffee Shopee,No
108,Naveen Kabab & Biriyani Mane,No
109,Katriguppe Donne Biryani,No
110,Hari Super Sandwich,No
111,Atithi Point Ande Ka Funda,No
112,Just Bake,No
113,Dharwad Line Bazaar Mishra Pedha,No
114,Cake Bite,No
115,Aarush's Food Plaza,No
116,Wood Stove,No
117,Kulfi & More,No
118,Kannadigas Karavali,No
119,K27 - The Pub,No
120,Bengaluru Coffee House,Yes
121,New Mangalore Lunch Home,No
122,Coffee Bytes,No
123,Parjanya Chat Zone,No
124,Kwality Wall's Swirl's Happiness Station,No
125,Soms Kitchen & Bakes,No
126,Banashankari Nati Style,No
127,Ruchi Maayaka,No
128,Mohitesh Hut Roll,No
129,Sri Basaveshwar Jolada Rotti Oota,No
130,Roll Magic Fast Food,No
131,Foodlieious Multi Cuisine,No
132,Thanishka Nati And Karavali Style,No
133,Swathi Cool Point,No
134,Kaumudis Juoice,No
135,Amma - Manae,No
136,Sri Sai Tiffannies,No
137,Hotel Andhra Speices,No
138,Sri Murari Family Restaurant,No
139,Aramane Donne Biriyani,No
140,Darkolates,No
141,Swaada Healthy Kitchen,No
142,Gawdaru Mane Beriyani,No
143,Melting Melodies,No
144,New Indraprasta,No
145,Anna Kuteera,Yes
146,Darbar,No
147,Vijayalakshmi,Yes
